Method:,Hadamard 1,,
Host Date-Time:,21/9/17 @ 15:47:56,,
Header Version:,1,,
System Temp (C):,35,,
Detector Temp (C):,31.44,,
Humidity (%):,15.91,,
Lamp PD:,3784,,
Shift Vector Coefficients:,-4.94391,0.050722,-0.00012551,,
Pixel to Wavelength Coefficients:,1825.37,-0.904915,-0.000245393,,
Serial Number:,5490013,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.705,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.954013,1.038675,49060.000000,4488.000000
905.892287,1.041227,55034.000000,5005.000000
909.826144,1.048254,60670.000000,5429.000000
913.755584,1.047993,66564.000000,5960.000000
917.680607,1.071887,73798.000000,6254.000000
921.601213,1.068042,82680.000000,7069.000000
925.517402,1.076501,93358.000000,7828.000000
929.429174,1.080163,105370.000000,8761.000000
933.336529,1.088752,117914.000000,9612.000000
937.239466,1.073176,129489.000000,10941.000000
941.137987,1.056032,140109.000000,12315.000000
945.032090,1.042971,149394.000000,13532.000000
950.217358,1.031553,160809.000000,14954.000000
954.101155,1.022749,168910.000000,16029.000000
957.980534,1.016460,177304.000000,17071.000000
961.855497,1.012596,185081.000000,17979.000000
965.726043,1.012913,193890.000000,18821.000000
969.592172,1.009310,202944.000000,19864.000000
973.453884,1.003012,211673.000000,21021.000000
977.311178,1.002681,220789.000000,21943.000000
981.164056,0.997699,229670.000000,23089.000000
985.012516,0.999889,238709.000000,23877.000000
988.856560,0.995670,247015.000000,24949.000000
992.696186,0.994054,254995.000000,25851.000000
997.808817,0.990872,264443.000000,27006.000000
1001.638136,0.988934,271279.000000,27828.000000
1005.463039,0.988826,277527.000000,28476.000000
1009.283525,0.990077,282638.000000,28917.000000
1013.099593,0.989937,286846.000000,29357.000000
1016.911245,0.988537,290773.000000,29855.000000
1020.718479,0.993068,294344.000000,29908.000000
1024.521297,0.994334,296615.000000,30051.000000
1028.319697,0.993359,298225.000000,30282.000000
1032.113680,0.994858,299236.000000,30280.000000
1035.903247,0.996680,300008.000000,30231.000000
1039.688396,0.996183,299754.000000,30240.000000
1044.728390,0.996484,299178.000000,30161.000000
1048.503233,0.997149,298603.000000,30057.000000
1052.273658,0.995850,298841.000000,30171.000000
1056.039667,0.990638,298985.000000,30550.000000
1059.801258,0.989803,298645.000000,30574.000000
1063.558432,0.986656,299136.000000,30847.000000
1067.311190,0.985776,299179.000000,30914.000000
1071.059530,0.983168,299581.000000,31142.000000
1074.803453,0.982984,300243.000000,31224.000000
1078.542959,0.982102,301102.000000,31377.000000
1082.278048,0.983387,302928.000000,31474.000000
1087.251296,0.984812,304860.000000,31571.000000
1090.976078,0.982772,305940.000000,31832.000000
1094.696443,0.982796,308331.000000,32079.000000
1098.412392,0.983798,310748.000000,32256.000000
1102.123923,0.985761,312998.000000,32343.000000
1105.831037,0.987111,315098.000000,32459.000000
1109.533734,0.991075,317331.000000,32392.000000
1113.232014,0.992815,320031.000000,32537.000000
1116.925877,0.995780,322065.000000,32521.000000
1120.615323,1.000009,324387.000000,32438.000000
1124.300352,1.006235,326504.000000,32185.000000
1127.980964,1.011066,328628.000000,32036.000000
1132.881575,1.026167,331748.000000,31235.000000
1136.551880,1.038742,334038.000000,30553.000000
1140.217768,1.053991,336305.000000,29699.000000
1143.879240,1.075694,338467.000000,28433.000000
1147.536294,1.094977,341029.000000,27404.000000
1151.188931,1.116999,343568.000000,26243.000000
1154.837150,1.141605,346388.000000,25001.000000
1158.480953,1.163612,348724.000000,23926.000000
1162.120339,1.184862,351242.000000,22948.000000
1165.755308,1.208008,353874.000000,21920.000000
1169.385859,1.225885,356649.000000,21201.000000
1173.011994,1.238672,359562.000000,20754.000000
1177.839969,1.254632,363963.000000,20250.000000
1181.455797,1.268180,367114.000000,19798.000000
1185.067208,1.287311,371459.000000,19169.000000
1188.674202,1.307918,376057.000000,18507.000000
1192.276779,1.326354,381213.000000,17981.000000
1195.874938,1.343462,386738.000000,17537.000000
1199.468681,1.360018,391755.000000,17100.000000
1203.058007,1.375820,397005.000000,16710.000000
1206.642915,1.387386,402743.000000,16506.000000
1210.223407,1.397856,408846.000000,16357.000000
1213.799481,1.402036,414567.000000,16427.000000
1217.371139,1.391274,420274.000000,17071.000000
1222.126477,1.362432,429462.000000,18642.000000
1225.687828,1.329047,436148.000000,20445.000000
1229.244762,1.293980,442616.000000,22493.000000
1232.797279,1.261504,449528.000000,24618.000000
1236.345378,1.237862,456181.000000,26380.000000
1239.889061,1.214730,463539.000000,28272.000000
1243.428326,1.194529,470079.000000,30036.000000
1246.963175,1.177764,477832.000000,31733.000000
1250.493606,1.164703,486017.000000,33262.000000
1254.019620,1.153832,493169.000000,34607.000000
1257.541217,1.143860,500985.000000,35972.000000
1262.229809,1.134363,512345.000000,37601.000000
1265.741100,1.127157,521283.000000,38897.000000
1269.247974,1.121606,529269.000000,40001.000000
1272.750430,1.117508,537340.000000,40996.000000
1276.248470,1.114941,545875.000000,41894.000000
1279.742092,1.111318,555063.000000,42956.000000
1283.231297,1.108051,564343.000000,44004.000000
1286.716086,1.105377,572146.000000,44888.000000
1290.196457,1.103674,579645.000000,45655.000000
1293.672411,1.102829,587401.000000,46356.000000
1297.143948,1.103031,594698.000000,46910.000000
1300.611068,1.102888,600598.000000,47391.000000
1305.227024,1.103986,608153.000000,47866.000000
1308.683837,1.103799,613606.000000,48316.000000
1312.136234,1.105758,618333.000000,48469.000000
1315.584213,1.107034,622186.000000,48628.000000
1319.027775,1.109871,626212.000000,48624.000000
1322.466920,1.114752,629123.000000,48304.000000
1325.901648,1.117522,632257.000000,48236.000000
1329.331960,1.122399,634373.000000,47857.000000
1332.757853,1.126237,637449.000000,47666.000000
1336.179330,1.132578,638859.000000,47079.000000
1339.596390,1.138939,639307.000000,46427.000000
1343.009033,1.145983,639741.000000,45711.000000
1347.552352,1.155764,639954.000000,44708.000000
1350.954689,1.166946,639197.000000,43520.000000
1354.352608,1.179056,637095.000000,42184.000000
1357.746110,1.193705,635707.000000,40696.000000
1361.135195,1.208289,635123.000000,39316.000000
1364.519863,1.221148,634326.000000,38121.000000
1367.900114,1.237861,633706.000000,36646.000000
1371.275948,1.259176,632818.000000,34842.000000
1374.647365,1.280622,631840.000000,33112.000000
1378.014364,1.306390,630473.000000,31137.000000
1381.376947,1.331548,628531.000000,29294.000000
1384.735112,1.359462,626532.000000,27383.000000
1389.205796,1.399507,624624.000000,24895.000000
1392.553655,1.427323,623113.000000,23294.000000
1395.897097,1.444750,620419.000000,22281.000000
1399.236121,1.459773,617552.000000,21424.000000
1402.570729,1.470310,614762.000000,20816.000000
1405.900920,1.484817,612223.000000,20049.000000
1409.226694,1.505654,609090.000000,19012.000000
1412.548050,1.522163,606267.000000,18218.000000
1415.864990,1.537267,604085.000000,17532.000000
1419.177512,1.543425,601598.000000,17214.000000
1422.485618,1.554402,599041.000000,16713.000000
1425.789306,1.558735,597337.000000,16500.000000
1430.187353,1.566784,596156.000000,16165.000000
1433.480735,1.569861,594897.000000,16017.000000
1436.769700,1.572754,593265.000000,15867.000000
1440.054247,1.574444,592538.000000,15786.000000
1443.334378,1.573522,592442.000000,15817.000000
